"13926: Lønnstakere og jobber, etter sektor, næring (SN2007), statistikkvariabel, kvartal og region"

"sektor";"næring (SN2007)";"Antall jobber (arbeidsforhold) 2024K4 0 Hele landet"
"Sum alle sektorer";"10.730 Produksjon av makaroni, nudler, couscous og lignende pastavarer";0
"Sum alle sektorer";"10.810 Produksjon av sukker";0
"Sum alle sektorer";"10.820 Produksjon av kakao, sjokolade og sukkervarer";937
"Sum alle sektorer";"10.830 Bearbeiding av te og kaffe";426
"Sum alle sektorer";"10.840 Produksjon av smakstilsettingsstoffer og krydderier";156
"Sum alle sektorer";"10.850 Produksjon av ferdigmat";1619
"Sum alle sektorer";"10.860 Produksjon av homogeniserte matprodukter og diettmat";372
"Sum alle sektorer";"10.890 Produksjon av næringsmidler ikke nevnt annet sted";1511
"Sum alle sektorer";"10.910 Produksjon av fôrvarer til husdyrhold";2501
"Sum alle sektorer";"10.920 Produksjon av fôrvarer til kjæledyr";132
"Sum alle sektorer";"11.010 Destillering, rektifisering og blanding av sprit";202
"Sum alle sektorer";"11.020 Produksjon av vin";3
"Sum alle sektorer";"11.030 Produksjon av sider og annen fruktvin";26
"Sum alle sektorer";"11.040 Produksjon av andre ikke-destillerte gjærede drikkevarer";6
"Sum alle sektorer";"11.050 Produksjon av øl";2185
"Sum alle sektorer";"11.060 Produksjon av malt";3
"Sum alle sektorer";"11.070 Produksjon av mineralvann, leskedrikker og annet vann på flaske";1085
"Sum alle sektorer";"12.000 Produksjon av tobakksvarer";13
"Sum alle sektorer";"13.100 Bearbeiding og spinning av tekstilfibrer";251
"Sum alle sektorer";"13.200 Veving av tekstiler";148
"Sum alle sektorer";"13.300 Etterbehandling av tekstiler";149
"Sum alle sektorer";"13.910 Produksjon av stoffer av trikotasje";0
"Sum alle sektorer";"13.921 Produksjon av utstyrsvarer";270
"Sum alle sektorer";"13.929 Produksjon av andre tekstilvarer, unntatt klær";869
"Sum alle sektorer";"13.930 Produksjon av gulvtepper, -matter og -ryer";6
"Sum alle sektorer";"13.940 Produksjon av tauverk og nett";1050
"Sum alle sektorer";"13.950 Produksjon av ikke-vevde tekstiler og tekstilvarer, unntatt klær";51
"Sum alle sektorer";"13.960 Produksjon av tekstiler til teknisk og industriell bruk";143
"Sum alle sektorer";"13.990 Produksjon av tekstiler ikke nevnt annet sted";55
"Sum alle sektorer";"14.110 Produksjon av klær av lær";7
"Sum alle sektorer";"14.120 Produksjon av arbeidstøy";62
"Sum alle sektorer";"14.130 Produksjon av annet yttertøy";471
"Sum alle sektorer";"14.140 Produksjon av undertøy og innertøy";103
"Sum alle sektorer";"14.190 Produksjon av klær og tilbehør ellers";632
"Sum alle sektorer";"14.200 Produksjon av pelsvarer";3
"Sum alle sektorer";"14.310 Produksjon av strømpevarer";0
"Sum alle sektorer";"14.390 Produksjon av andre klær av trikotasje";144
"Sum alle sektorer";"15.110 Beredning av lær, og beredning og farging av pelsskinn";50
"Sum alle sektorer";"15.120 Produksjon av reiseeffekter og salmakerartikler";21
"Sum alle sektorer";"15.200 Produksjon av skotøy";17
"Sum alle sektorer";"16.100 Saging, høvling og impregnering av tre";3201
"Sum alle sektorer";"16.210 Produksjon av finerplater og andre bygnings- og møbelplater av tre";1077
"Sum alle sektorer";"16.220 Produksjon av sammensatte parkettstaver";55
"Sum alle sektorer";"16.231 Produksjon av monteringsferdige hus";1751
"Sum alle sektorer";"16.232 Produksjon av bygningsartikler";5183
"Sum alle sektorer";"16.240 Produksjon av treemballasje";343
"Sum alle sektorer";"16.290 Produksjon av andre trevarer og varer av kork, strå og flettematerialer";412
"Sum alle sektorer";"17.110 Produksjon av papirmasse";143
"Sum alle sektorer";"17.120 Produksjon av papir og papp";1495
"Sum alle sektorer";"17.210 Produksjon av bølgepapp og emballasje av papir og papp";827
"Sum alle sektorer";"17.220 Produksjon av husholdnings-, sanitær- og toalettartikler av papir";0
"Sum alle sektorer";"17.230 Produksjon av kontorartikler av papir";0
"Sum alle sektorer";"17.240 Produksjon av tapeter";3
"Sum alle sektorer";"17.290 Produksjon av varer av papir og papp ellers";131
"Sum alle sektorer";"18.110 Trykking av aviser";345
"Sum alle sektorer";"18.120 Trykking ellers";2806
"Sum alle sektorer";"18.130 Ferdiggjøring før trykking og publisering";359
"Sum alle sektorer";"18.140 Bokbinding og tilknyttede tjenester";166
