"13926: Lønnstakere og jobber, etter sektor, næring (SN2007), statistikkvariabel, kvartal og region"

"sektor";"næring (SN2007)";"Antall jobber (arbeidsforhold) 2024K4 0 Hele landet"
"Sum alle sektorer";"45.401 Agentur- og engroshandel med motorsykler, deler og utstyr";58
"Sum alle sektorer";"45.402 Detaljhandel med motorsykler, deler og utstyr";736
"Sum alle sektorer";"45.403 Vedlikehold og reparasjon av motorsykler";69
"Sum alle sektorer";"46.110 Agenturhandel med jordbruksråvarer, levende dyr, tekstilråvarer og innsatsvarer";6
"Sum alle sektorer";"46.120 Agenturhandel med brensel, drivstoff, malm, metaller og industrikjemikalier";73
"Sum alle sektorer";"46.130 Agenturhandel med tømmer, trelast og byggevarer";106
"Sum alle sektorer";"46.140 Agenturhandel med maskiner, produksjonsutstyr, båter og luftfartøyer";591
"Sum alle sektorer";"46.150 Agenturhandel med møbler, husholdningsvarer og jernvarer";207
"Sum alle sektorer";"46.160 Agenturhandel med tekstiler, klær, pelsskinn, skotøy og lærvarer";306
"Sum alle sektorer";"46.170 Agenturhandel med nærings- og nytelsesmidler";364
"Sum alle sektorer";"46.180 Agenturhandel med spesialisert vareutvalg ellers";631
"Sum alle sektorer";"46.190 Agenturhandel med bredt vareutvalg";77
"Sum alle sektorer";"46.210 Engroshandel med korn, råtobakk, såvarer og fôrvarer";1765
"Sum alle sektorer";"46.220 Engroshandel med blomster og planter";627
"Sum alle sektorer";"46.230 Engroshandel med levende dyr";3
"Sum alle sektorer";"46.240 Engroshandel med huder, skinn og lær";46
"Sum alle sektorer";"46.310 Engroshandel med frukt og grønnsaker";2192
"Sum alle sektorer";"46.320 Engroshandel med kjøtt og kjøttvarer";127
"Sum alle sektorer";"46.330 Engroshandel med meierivarer, egg, matolje og -fett";99
"Sum alle sektorer";"46.341 Engroshandel med vin og brennevin";658
"Sum alle sektorer";"46.349 Engroshandel med drikkevarer ellers";193
"Sum alle sektorer";"46.350 Engroshandel med tobakksvarer";166
"Sum alle sektorer";"46.360 Engroshandel med sukker, sjokolade og sukkervarer";242
"Sum alle sektorer";"46.370 Engroshandel med kaffe, te, kakao og krydder";465
"Sum alle sektorer";"46.381 Engroshandel med fisk, skalldyr og bløtdyr";1895
"Sum alle sektorer";"46.389 Engroshandel med spesialisert utvalg av nærings- og nytelsesmidler ikke nevnt annet sted";1420
"Sum alle sektorer";"46.390 Engroshandel med bredt utvalg av nærings- og nytelsesmidler";10487
"Sum alle sektorer";"46.410 Engroshandel med tekstiler og utstyrsvarer";676
"Sum alle sektorer";"46.421 Engroshandel med klær";3748
"Sum alle sektorer";"46.422 Engroshandel med skotøy";315
"Sum alle sektorer";"46.431 Engroshandel med elektriske husholdningsapparater og -maskiner";1276
"Sum alle sektorer";"46.432 Engroshandel med radio og fjernsyn";218
"Sum alle sektorer";"46.433 Engroshandel med plater, musikk- og videokassetter og CD- og DVD-plater";12
"Sum alle sektorer";"46.434 Engroshandel med fotoutstyr";9
"Sum alle sektorer";"46.435 Engroshandel med optiske artikler";174
"Sum alle sektorer";"46.441 Engroshandel med kjøkkenutstyr, glass og steintøy";260
"Sum alle sektorer";"46.442 Engroshandel med rengjøringsmidler";117
"Sum alle sektorer";"46.450 Engroshandel med parfyme og kosmetikk";1200
"Sum alle sektorer";"46.460 Engroshandel med sykepleie- og apotekvarer";8128
"Sum alle sektorer";"46.471 Engroshandel med møbler";603
"Sum alle sektorer";"46.472 Engroshandel med gulvtepper";76
"Sum alle sektorer";"46.473 Engroshandel med belysningsutstyr";1013
"Sum alle sektorer";"46.481 Engroshandel med klokker og ur";90
"Sum alle sektorer";"46.482 Engroshandel med gull- og sølvvarer";152
"Sum alle sektorer";"46.491 Engroshandel med bøker, aviser og blader";105
"Sum alle sektorer";"46.492 Engroshandel med reiseeffekter og lærvarer";138
"Sum alle sektorer";"46.493 Engroshandel med fritidsbåter og -utstyr";250
"Sum alle sektorer";"46.494 Engroshandel med sportsutstyr";1684
"Sum alle sektorer";"46.495 Engroshandel med spill og leker";384
"Sum alle sektorer";"46.499 Engroshandel med husholdningsvarer og varer til personlig bruk ikke nevnt annet sted";2716
"Sum alle sektorer";"46.510 Engroshandel med datamaskiner, tilleggsutstyr til datamaskiner samt programvare";4391
"Sum alle sektorer";"46.520 Engroshandel med elektronikkutstyr og telekommunikasjonsutstyr samt deler";2211
"Sum alle sektorer";"46.610 Engroshandel med maskiner og utstyr til jordbruk og skogbruk";3028
"Sum alle sektorer";"46.620 Engroshandel med maskinverktøy";1193
"Sum alle sektorer";"46.630 Engroshandel med maskiner og utstyr til bergverksdrift, olje- og gassutvinning og bygge- og anleggsvirksomhet";5952
"Sum alle sektorer";"46.640 Engroshandel med maskiner og utstyr til tekstilproduksjon";41
"Sum alle sektorer";"46.650 Engroshandel med kontormøbler";1165
"Sum alle sektorer";"46.660 Engroshandel med maskiner og utstyr til kontor ellers";689
"Sum alle sektorer";"46.691 Engroshandel med maskiner og utstyr til kraftproduksjon og installasjon";4306
"Sum alle sektorer";"46.692 Engroshandel med skipsutstyr og fiskeredskap";1167
"Sum alle sektorer";"46.693 Engroshandel med maskiner og utstyr til industri ellers";4456
"Sum alle sektorer";"46.694 Engroshandel med maskiner og utstyr til handel, transport og tjenesteyting ellers";5915
"Sum alle sektorer";"46.710 Engroshandel med drivstoff og brensel";1618
"Sum alle sektorer";"46.720 Engroshandel med metaller og metallholdig malm";691
"Sum alle sektorer";"46.731 Engroshandel med tømmer";339
"Sum alle sektorer";"46.732 Engroshandel med trelast";2682
"Sum alle sektorer";"46.733 Engroshandel med fargevarer";600
"Sum alle sektorer";"46.739 Engroshandel med byggevarer ikke nevnt annet sted";8293
"Sum alle sektorer";"46.740 Engroshandel med jernvarer, rørleggerartikler og oppvarmingsutstyr";7878
"Sum alle sektorer";"46.750 Engroshandel med kjemiske produkter";1241
"Sum alle sektorer";"46.761 Engroshandel med papir og papp";738
"Sum alle sektorer";"46.769 Engroshandel med innsatsvarer ikke nevnt annet sted";351
"Sum alle sektorer";"46.770 Engroshandel med avfall og skrap";558
"Sum alle sektorer";"46.900 Uspesifisert engroshandel";2929
"Sum alle sektorer";"47.111 Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler";67171
"Sum alle sektorer";"47.112 Kioskhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler";3505
"Sum alle sektorer";"47.190 Butikkhandel med bredt vareutvalg ellers";9921
"Sum alle sektorer";"47.210 Butikkhandel med frukt og grønnsaker";205
"Sum alle sektorer";"47.220 Butikkhandel med kjøtt og kjøttvarer";196
"Sum alle sektorer";"47.230 Butikkhandel med fisk, skalldyr og bløtdyr";377
"Sum alle sektorer";"47.241 Butikkhandel med bakervarer og konditorvarer";3672
"Sum alle sektorer";"47.242 Butikkhandel med sukkervarer";163
"Sum alle sektorer";"47.251 Butikkhandel med vin og brennevin";3780
"Sum alle sektorer";"47.259 Butikkhandel med drikkevarer ellers";43
"Sum alle sektorer";"47.260 Butikkhandel med tobakksvarer";116
"Sum alle sektorer";"47.291 Butikkhandel med helsekost";1064
"Sum alle sektorer";"47.292 Butikkhandel med kaffe og te";225
"Sum alle sektorer";"47.299 Butikkhandel med nærings- og nytelsesmidler ikke nevnt annet sted";751
"Sum alle sektorer";"47.300 Detaljhandel med drivstoff til motorvogner";9477
"Sum alle sektorer";"47.410 Butikkhandel med datamaskiner og utstyr til datamaskiner";503
"Sum alle sektorer";"47.420 Butikkhandel med telekommunikasjonsutstyr";959
"Sum alle sektorer";"47.430 Butikkhandel med audio- og videoutstyr";396
"Sum alle sektorer";"47.510 Butikkhandel med tekstiler og utstyrsvarer";4353
"Sum alle sektorer";"47.521 Butikkhandel med bredt utvalg av jernvarer, fargevarer og andre byggevarer";9505
"Sum alle sektorer";"47.522 Butikkhandel med jernvarer";1351
"Sum alle sektorer";"47.523 Butikkhandel med fargevarer";1073
"Sum alle sektorer";"47.524 Butikkhandel med trelast";218
"Sum alle sektorer";"47.529 Butikkhandel med byggevarer ikke nevnt annet sted";1807
"Sum alle sektorer";"47.531 Butikkhandel med tapeter og gulvbelegg";67
"Sum alle sektorer";"47.532 Butikkhandel med tepper";61
"Sum alle sektorer";"47.533 Butikkhandel med gardiner";19
"Sum alle sektorer";"47.540 Butikkhandel med elektriske husholdningsapparater";6176
"Sum alle sektorer";"47.591 Butikkhandel med møbler";7692
"Sum alle sektorer";"47.592 Butikkhandel med belysningsutstyr";966
"Sum alle sektorer";"47.593 Butikkhandel med kjøkkenutstyr, glass og steintøy";2032
"Sum alle sektorer";"47.594 Butikkhandel med musikkinstrumenter og noter";257
"Sum alle sektorer";"47.599 Butikkhandel med innredningsartikler ikke nevnt annet sted";2495
"Sum alle sektorer";"47.610 Butikkhandel med bøker";3273
"Sum alle sektorer";"47.620 Butikkhandel med aviser og papirvarer";6
"Sum alle sektorer";"47.630 Butikkhandel med innspillinger av musikk og video";63
"Sum alle sektorer";"47.641 Butikkhandel med sportsutstyr";9443
"Sum alle sektorer";"47.642 Butikkhandel med fritidsbåter og -utstyr";997
"Sum alle sektorer";"47.650 Butikkhandel med spill og leker";1701
"Sum alle sektorer";"47.710 Butikkhandel med klær";23823
"Sum alle sektorer";"47.721 Butikkhandel med skotøy";2952
"Sum alle sektorer";"47.722 Butikkhandel med reiseeffekter av lær og lærimitasjoner og varer av lær";520
"Sum alle sektorer";"47.730 Butikkhandel med apotekvarer";10074
"Sum alle sektorer";"47.740 Butikkhandel med medisinske og ortopediske artikler";308
"Sum alle sektorer";"47.750 Butikkhandel med kosmetikk og toalettartikler";5972
"Sum alle sektorer";"47.761 Butikkhandel med blomster og planter";6025
"Sum alle sektorer";"47.762 Butikkhandel med kjæledyr og fôrvarer til kjæledyr";1855
"Sum alle sektorer";"47.771 Butikkhandel med ur og klokker";607
"Sum alle sektorer";"47.772 Butikkhandel med gull- og sølvvarer";2078
"Sum alle sektorer";"47.781 Butikkhandel med fotoutstyr";505
"Sum alle sektorer";"47.782 Butikkhandel med optiske artikler";4545
"Sum alle sektorer";"47.789 Butikkhandel ikke nevnt annet sted";3622
"Sum alle sektorer";"47.791 Butikkhandel med antikviteter";25
"Sum alle sektorer";"47.792 Butikkhandel med brukte klær";567
"Sum alle sektorer";"47.799 Butikkhandel med brukte varer ellers";341
"Sum alle sektorer";"47.810 Torghandel med næringsmidler, drikkevarer og tobakksvarer";132
"Sum alle sektorer";"47.820 Torghandel med tekstiler, klær, skotøy og utstyrsvarer";3
"Sum alle sektorer";"47.890 Torghandel med andre varer";25
"Sum alle sektorer";"47.911 Postordre-/Internetthandel med bredt vareutvalg";946
"Sum alle sektorer";"47.912 Postordre-/Internetthandel med tekstiler, utstyrsvarer, klær, skotøy, reiseeffekter og lærvarer";1224
"Sum alle sektorer";"47.913 Postordre-/Internetthandel med belysningsutstyr, kjøkkenutstyr, møbler og innredningsartikler";329
"Sum alle sektorer";"47.914 Postordre-/Internetthandel med elektriske husholdningsapparater, radio, fjernsyn, plater, kassetter og musikkinstrumenter";154
"Sum alle sektorer";"47.915 Postordre-/internetthandel med bøker, papir, aviser og blader";32
"Sum alle sektorer";"47.916 Postordre-/Internetthandel med IKT-utstyr";80
"Sum alle sektorer";"47.917 Postordre-/Internetthandel med helsekost";206
"Sum alle sektorer";"47.919 Postordre-/Internetthandel med annet spesialisert vareutvalg";2916
"Sum alle sektorer";"47.990 Detaljhandel utenom utsalgssted ellers";1230
"Sum alle sektorer";"49.100 Passasjertransport med jernbane";3871
"Sum alle sektorer";"49.200 Godstransport med jernbane";452
"Sum alle sektorer";"49.311 Rutebiltransport i by- og forstadsområde";10692
"Sum alle sektorer";"49.312 Transport med sporveis- og forstadsbane";2523
"Sum alle sektorer";"49.320 Drosjebiltransport";8358
"Sum alle sektorer";"49.391 Rutebiltransport utenfor by- og forstadsområde";6407
"Sum alle sektorer";"49.392 Turbiltransport";3522
"Sum alle sektorer";"49.393 Transport med taubaner, kabelbaner og skiheiser";174
"Sum alle sektorer";"49.410 Godstransport på vei";31603
"Sum alle sektorer";"49.420 Flyttetransport";714
"Sum alle sektorer";"49.500 Rørtransport";275
"Sum alle sektorer";"50.101 Utenriks sjøfart med passasjerer";2398
"Sum alle sektorer";"50.102 Innenlandske kystruter med passasjerer";7336
"Sum alle sektorer";"50.109 Kysttrafikk ellers med passasjerer";674
"Sum alle sektorer";"50.201 Utenriks sjøfart med gods";2801
"Sum alle sektorer";"50.202 Innenriks sjøfart med gods";3189
"Sum alle sektorer";"50.203 Slepebåter";689
"Sum alle sektorer";"50.204 Forsyning og andre sjøtransporttjenester for offshore";3543
"Sum alle sektorer";"50.300 Passasjertransport på elver og innsjøer";22
"Sum alle sektorer";"50.400 Godstransport på elver og innsjøer";0
"Sum alle sektorer";"51.100 Lufttransport med passasjerer";6674
"Sum alle sektorer";"51.210 Lufttransport med gods";207
"Sum alle sektorer";"51.220 Romfart";44
"Sum alle sektorer";"52.100 Lagring";1890
"Sum alle sektorer";"52.211 Drift av gods- og transportsentraler";1430
"Sum alle sektorer";"52.212 Drift av parkeringsplasser og parkeringshus";1394
"Sum alle sektorer";"52.213 Drift av bomstasjoner";0
"Sum alle sektorer";"52.214 Drift av taxisentraler og annen formidling av persontransport";1640
"Sum alle sektorer";"52.216 Kondensering av gass med henblikk på transport";0
"Sum alle sektorer";"52.219 Tjenester tilknyttet landtransport ellers";3954
"Sum alle sektorer";"52.221 Drift av havne- og kaianlegg";1060
"Sum alle sektorer";"52.222 Redningstjeneste";524
"Sum alle sektorer";"52.223 Forsyningsbaser";1557
"Sum alle sektorer";"52.229 Tjenester tilknyttet sjøtransport ellers";2908
"Sum alle sektorer";"52.230 Andre tjenester tilknyttet lufttransport";8305
"Sum alle sektorer";"52.240 Lasting og lossing";1194
"Sum alle sektorer";"52.291 Spedisjon";8450
"Sum alle sektorer";"52.292 Skipsmegling";1055
"Sum alle sektorer";"52.293 Flymegling";22
"Sum alle sektorer";"52.299 Transportformidling ellers";238
"Sum alle sektorer";"53.100 Landsdekkende posttjenester";9988
"Sum alle sektorer";"53.200 Andre post- og budtjenester";7426
"Sum alle sektorer";"55.101 Drift av hoteller, pensjonater og moteller med restaurant";32679
"Sum alle sektorer";"55.102 Drift av hoteller, pensjonater og moteller uten restaurant";997
"Sum alle sektorer";"55.201 Drift av vandrerhjem";174
"Sum alle sektorer";"55.202 Drift av ferieleiligheter";1557
"Sum alle sektorer";"55.300 Drift av campingplasser";1468
"Sum alle sektorer";"55.900 Annen overnatting";208
"Sum alle sektorer";"56.101 Drift av restauranter og kafeer";67294
"Sum alle sektorer";"56.102 Drift av gatekjøkken";7993
"Sum alle sektorer";"56.210 Cateringvirksomhet";5725
"Sum alle sektorer";"56.290 Kantiner drevet som selvstendig virksomhet";8632
"Sum alle sektorer";"56.301 Drift av puber";4464
"Sum alle sektorer";"56.309 Drift av barer ellers";684
"Sum alle sektorer";"58.110 Utgivelse av bøker";1768
"Sum alle sektorer";"58.120 Utgivelse av kataloger og adresselister";11
"Sum alle sektorer";"58.130 Utgivelse av aviser";6179
"Sum alle sektorer";"58.140 Utgivelse av blader og tidsskrifter";1803
"Sum alle sektorer";"58.190 Forlagsvirksomhet ellers";224
"Sum alle sektorer";"58.210 Utgivelse av programvare for dataspill";254
"Sum alle sektorer";"58.290 Utgivelse av annen programvare";9078
"Sum alle sektorer";"59.110 Produksjon av film, video og fjernsynsprogrammer";3790
"Sum alle sektorer";"59.120 Etterarbeid knyttet til produksjon av film, video og fjernsynsprogrammer";283
"Sum alle sektorer";"59.130 Distribusjon av film, video og fjernsynsprogrammer";111
"Sum alle sektorer";"59.140 Filmframvisning";1727
"Sum alle sektorer";"59.200 Produksjon og utgivelse av musikk- og lydopptak";650
"Sum alle sektorer";"60.100 Radiokringkasting";386
"Sum alle sektorer";"60.200 Fjernsynskringkasting";5499
"Sum alle sektorer";"61.100 Kabelbasert telekommunikasjon";5440
"Sum alle sektorer";"61.200 Trådløs telekommunikasjon";3686
"Sum alle sektorer";"61.300 Satellittbasert telekommunikasjon";1167
"Sum alle sektorer";"61.900 Telekommunikasjon ellers";714
"Sum alle sektorer";"62.010 Programmeringstjenester";27274
"Sum alle sektorer";"62.020 Konsulentvirksomhet tilknyttet informasjonsteknologi";34993
"Sum alle sektorer";"62.030 Forvaltning og drift av IT-systemer";6120
"Sum alle sektorer";"62.090 Andre tjenester tilknyttet informasjonsteknologi";300
"Sum alle sektorer";"63.110 Databehandling, datalagring og tilknyttede tjenester";3654
"Sum alle sektorer";"63.120 Drift av web-portaler";2437
"Sum alle sektorer";"63.910 Nyhetsbyråer";399
"Sum alle sektorer";"63.990 Andre informasjonstjenester ikke nevnt annet sted";158
"Sum alle sektorer";"64.110 Sentralbankvirksomhet";1195
"Sum alle sektorer";"64.190 Bankvirksomhet ellers";26867
"Sum alle sektorer";"64.201 Finansielle holdingselskaper";328
"Sum alle sektorer";"64.202 Spesielle holdingselskaper";52
"Sum alle sektorer";"64.301 Verdipapirfond";0
"Sum alle sektorer";"64.302 Alternative investeringsfond (AIF) som ikke er verdipapirfond";27
"Sum alle sektorer";"64.305 Finansstiftelser";106
"Sum alle sektorer";"64.306 Egeninvesteringsselskaper i finansielle konsern og for offentlig forvaltning";168
"Sum alle sektorer";"64.308 Familieeide egeninvesteringsselskaper";588
"Sum alle sektorer";"64.910 Finansiell leasing";0
"Sum alle sektorer";"64.920 Annen kredittgivning";2699
"Sum alle sektorer";"64.990 Annen finansieringsvirksomhet ikke nevnt annet sted";28
"Sum alle sektorer";"65.110 Livsforsikring";2754
"Sum alle sektorer";"65.120 Skadeforsikring";9098
"Sum alle sektorer";"65.200 Gjenforsikring";0
"Sum alle sektorer";"65.300 Pensjonskasser";211
"Sum alle sektorer";"66.110 Administrasjon av finansmarkeder";397
"Sum alle sektorer";"66.120 Verdipapirmegling";2045
"Sum alle sektorer";"66.190 Andre tjenester tilknyttet finansieringsvirksomhet";2481
"Sum alle sektorer";"66.210 Risiko- og skadevurdering";0
"Sum alle sektorer";"66.220 Forsikringsformidling";3105
"Sum alle sektorer";"66.290 Andre tjenester tilknyttet forsikringsvirksomhet og pensjonskasser";959
"Sum alle sektorer";"66.300 Fondsforvaltningsvirksomhet";1745
"Sum alle sektorer";"68.100 Kjøp og salg av egen fast eiendom";2103
"Sum alle sektorer";"68.201 Borettslag";1861
"Sum alle sektorer";"68.209 Utleie av egen eller leid fast eiendom ellers";16320
"Sum alle sektorer";"68.310 Eiendomsmegling";7135
"Sum alle sektorer";"68.320 Eiendomsforvaltning";4559
"Sum alle sektorer";"69.100 Juridisk tjenesteyting";8033
"Sum alle sektorer";"69.201 Regnskap og bokføring";17980
"Sum alle sektorer";"69.202 Revisjon";11824
"Sum alle sektorer";"69.203 Skatterådgivning";49
"Sum alle sektorer";"70.100 Hovedkontortjenester";0
"Sum alle sektorer";"70.210 PR og kommunikasjonstjenester";948
"Sum alle sektorer";"70.220 Bedriftsrådgivning og annen administrativ rådgivning";14828
"Sum alle sektorer";"71.111 Plan- og reguleringsarbeid";152
"Sum alle sektorer";"71.112 Arkitekttjenester vedrørende byggverk";6088
"Sum alle sektorer";"71.113 Landskapsarkitekttjenester";328
"Sum alle sektorer";"71.121 Byggeteknisk konsulentvirksomhet";21409
"Sum alle sektorer";"71.122 Geologiske undersøkelser";1758
"Sum alle sektorer";"71.123 Kart og oppmåling";1250
"Sum alle sektorer";"71.129 Annen teknisk konsulentvirksomhet";25335
"Sum alle sektorer";"71.200 Teknisk prøving og analyse";8815
"Sum alle sektorer";"72.110 Forskning og utviklingsarbeid innen bioteknologi";1133
"Sum alle sektorer";"72.190 Annen forskning og annet utviklingsarbeid innen naturvitenskap og teknikk";16881
"Sum alle sektorer";"72.200 Forskning og utviklingsarbeid innen samfunnsvitenskap og humanistiske fag";2362
"Sum alle sektorer";"73.110 Reklamebyråer";7172
"Sum alle sektorer";"73.120 Medieformidlingstjenester";1329
"Sum alle sektorer";"73.200 Markeds- og opinionsundersøkelser";1185
"Sum alle sektorer";"74.101 Industridesign, produktdesign og annen teknisk designvirksomhet";2789
"Sum alle sektorer";"74.102 Grafisk og visuell kommunikasjonsdesign";1698
"Sum alle sektorer";"74.103 Interiørarkitekt-, interiørdesign- og interiørkonsulentvirksomhet";1114
"Sum alle sektorer";"74.200 Fotografvirksomhet";783
"Sum alle sektorer";"74.300 Oversettelses- og tolkevirksomhet";5500
"Sum alle sektorer";"74.901 Takseringsvirksomhet";467
"Sum alle sektorer";"74.902 Modellbyråvirksomhet";81
"Sum alle sektorer";"74.903 Impresariovirksomhet";549
"Sum alle sektorer";"74.909 Annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted";2517
"Sum alle sektorer";"75.000 Veterinærtjenester";3807
"Sum alle sektorer";"77.110 Utleie og leasing av biler og andre lette motorvogner";2283
"Sum alle sektorer";"77.120 Utleie og leasing av lastebiler";109
"Sum alle sektorer";"77.210 Utleie og leasing av sports- og fritidsutstyr";542
"Sum alle sektorer";"77.220 Utleie av videofilm, DVD og lignende";0
"Sum alle sektorer";"77.290 Utleie og leasing av andre husholdningsvarer og varer til personlig bruk";490
"Sum alle sektorer";"77.310 Utleie og leasing av landbruksmaskiner og -utstyr";30
"Sum alle sektorer";"77.320 Utleie og leasing av bygge- og anleggsmaskiner og -utstyr";3333
"Sum alle sektorer";"77.330 Utleie og leasing av kontor- og datamaskiner";59
"Sum alle sektorer";"77.340 Utleie og leasing av sjøtransportmateriell";307
"Sum alle sektorer";"77.350 Utleie og leasing av lufttransportmateriell";26
"Sum alle sektorer";"77.390 Utleie og leasing av andre maskiner og annet utstyr og materiell ikke nevnt annet sted";1625
"Sum alle sektorer";"77.400 Leasing av immateriell eiendom og lignende produkter, unntatt opphavsrettsbeskyttede verker";1133
"Sum alle sektorer";"78.100 Rekruttering og formidling av arbeidskraft";2783
"Sum alle sektorer";"78.200 Utleie av arbeidskraft";53698
"Sum alle sektorer";"78.300 Andre personaladministrative tjenester";9
"Sum alle sektorer";"79.110 Reisebyråvirksomhet";1643
"Sum alle sektorer";"79.120 Reisearrangørvirksomhet";1439
"Sum alle sektorer";"79.901 Turistkontorvirksomhet og destinasjonsselskaper";532
"Sum alle sektorer";"79.902 Guider og reiseledere";736
"Sum alle sektorer";"79.903 Opplevelses-, arrangements- og aktivitetsarrangørvirksomhet";1908
"Sum alle sektorer";"79.909 Turistrelaterte tjenester ikke nevnt annet sted";3
"Sum alle sektorer";"80.100 Private vakttjenester";9489
"Sum alle sektorer";"80.200 Tjenester tilknyttet vakttjenester";4650
"Sum alle sektorer";"80.300 Etterforsking";9
"Sum alle sektorer";"81.101 Vaktmestertjenester";4965
"Sum alle sektorer";"81.109 Andre kombinerte tjenester tilknyttet eiendomsdrift";19657
"Sum alle sektorer";"81.210 Rengjøring av bygninger";30168
"Sum alle sektorer";"81.220 Utvendig rengjøring av bygninger og industriell rengjøring";1362
"Sum alle sektorer";"81.291 Skadedyrkontroll";792
"Sum alle sektorer";"81.299 Annen rengjøringsvirksomhet ikke nevnt annet sted";929
"Sum alle sektorer";"81.300 Beplantning av hager og parkanlegg";4537
"Sum alle sektorer";"82.110 Kombinerte kontortjenester";2625
"Sum alle sektorer";"82.190 Fotokopiering, forberedelse av dokumenter og andre spesialiserte kontortjenester";24
"Sum alle sektorer";"82.201 Telefonvakttjenester";1294
"Sum alle sektorer";"82.202 Telefonsalg";2174
"Sum alle sektorer";"82.300 Kongress-, messe- og utstillingsvirksomhet";1772
"Sum alle sektorer";"82.910 Inkasso- og kredittopplysningsvirksomhet";2767
"Sum alle sektorer";"82.920 Pakkevirksomhet";312
"Sum alle sektorer";"82.990 Annen forretningsmessig tjenesteyting ikke nevnt annet sted";3683
"Sum alle sektorer";"84.110 Generell offentlig administrasjon";49048
"Sum alle sektorer";"84.120 Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern";29532
"Sum alle sektorer";"84.130 Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked";25540
"Sum alle sektorer";"84.210 Utenrikssaker";2130
"Sum alle sektorer";"84.220 Forsvar";37473
"Sum alle sektorer";"84.230 Retts- og fengselsvesen";7493
"Sum alle sektorer";"84.240 Politi- og påtalemyndighet";20349
"Sum alle sektorer";"84.250 Brannvern";11152
"Sum alle sektorer";"84.300 Trygdeordninger underlagt offentlig forvaltning";15249
"Sum alle sektorer";"85.100 Førskoleundervisning";21
"Sum alle sektorer";"85.201 Ordinær grunnskoleundervisning";122323
"Sum alle sektorer";"85.202 Spesialskoleundervisning for funksjonshemmede";2870
"Sum alle sektorer";"85.203 Kompetansesentra og annen spesialundervisning";2112
"Sum alle sektorer";"85.310 Videregående opplæring innen allmennfaglige studieretninger";22395
"Sum alle sektorer";"85.320 Videregående opplæring innen tekniske og andre yrkesfaglige studieretninger";21328
"Sum alle sektorer";"85.410 Undervisning ved fagskoler";1985
"Sum alle sektorer";"85.421 Undervisning ved universiteter";45047
"Sum alle sektorer";"85.422 Undervisning ved vitenskapelige høgskoler";4557
"Sum alle sektorer";"85.423 Undervisning ved statlige høgskoler";5701
"Sum alle sektorer";"85.424 Undervisning ved militære høgskoler";0
"Sum alle sektorer";"85.429 Undervisning ved andre høgskoler";3717
"Sum alle sektorer";"85.510 Undervisning innen idrett og rekreasjon";1613
"Sum alle sektorer";"85.521 Kommunal kulturskoleundervisning";5693
"Sum alle sektorer";"85.522 Undervisning i kunstfag";815
"Sum alle sektorer";"85.529 Annen undervisning innen kultur";40
"Sum alle sektorer";"85.530 Trafikkskoleundervisning";3112
"Sum alle sektorer";"85.591 Folkehøgskoleundervisning";2023
"Sum alle sektorer";"85.592 Arbeidsmarkedskurs";434
"Sum alle sektorer";"85.593 Studieforbunds- og frivillige organisasjoners kurs";410
"Sum alle sektorer";"85.594 Voksenopplæringssentre";6289
"Sum alle sektorer";"85.595 Timelærervirksomhet";185
"Sum alle sektorer";"85.596 Undervisning innen religion";36
"Sum alle sektorer";"85.599 Annen undervisning ikke nevnt annet sted";6278
"Sum alle sektorer";"85.601 Pedagogisk-psykologisk rådgivningstjeneste";4104
"Sum alle sektorer";"85.609 Andre tjenester tilknyttet undervisning";1934
"Sum alle sektorer";"86.101 Alminnelige somatiske sykehus";103028
"Sum alle sektorer";"86.102 Somatiske spesialsykehus";3110
"Sum alle sektorer";"86.103 Andre somatiske spesialinstitusjoner";616
"Sum alle sektorer";"86.104 Institusjoner i psykisk helsevern for voksne";20210
"Sum alle sektorer";"86.105 Institusjoner i psykisk helsevern for barn og unge";2390
"Sum alle sektorer";"86.106 Rusmiddelinstitusjoner";4627
"Sum alle sektorer";"86.107 Rehabiliterings- og opptreningsinstitusjoner";8237
"Sum alle sektorer";"86.211 Allmenn legetjeneste";17837
"Sum alle sektorer";"86.212 Somatiske poliklinikker";354
"Sum alle sektorer";"86.221 Spesialisert legetjeneste, unntatt psykiatrisk legetjeneste";2783
"Sum alle sektorer";"86.222 Legetjenester innen psykisk helsevern";103
"Sum alle sektorer";"86.223 Poliklinikker i psykisk helsevern for voksne";4904
"Sum alle sektorer";"86.224 Poliklinikker i psykisk helsevern for barn og unge";3239
"Sum alle sektorer";"86.225 Rusmiddelpoliklinikker";1257
"Sum alle sektorer";"86.230 Tannhelsetjenester";12227
"Sum alle sektorer";"86.901 Hjemmesykepleie";48351
"Sum alle sektorer";"86.902 Fysioterapitjeneste";4547
"Sum alle sektorer";"86.903 Helsestasjons- og skolehelsetjeneste";8624
"Sum alle sektorer";"86.904 Annen forebyggende helsetjeneste";11147
"Sum alle sektorer";"86.905 Klinisk psykologtjeneste";573
"Sum alle sektorer";"86.906 Medisinske laboratorietjenester";11251
"Sum alle sektorer";"86.907 Ambulansetjenester";7960
